Employee Id,Name,Age,Department,Date of Joining,Years of Experience,Country,Salary,Performance Rating,Total Sales,Support Rating
1472,Stephen Cummings,36,Sales,2015-01-01,6,Kaldora,127621,3,87491,0
3617,Jessica Yoder,45,Marketing,01/01/2017,11,Aqualis,102035,5,0,0
5264,Eric Zimmerman,44,Support,2023-01-01,1,Xentara,,5,0,5
4927,Scott Ellis,47,Development,2024-01-01,4,Arkalon,84189,2,0,0
9332,Kathryn Jones,45,Operations,2019-01-01,7,Lumeria,100865,5,0,0
3472,Chad Padilla,29,Development,2021-01-01,6,kALdOra,99903,4,0,0
9440,Brian Chavez,31,Markting,2020-01-01,9,Vantor,-94233,2,0,0
2786,Steven Jones,36,Operations,2020-01-01,4,Vantor,82867,2,0,0
6228,Alvin Hicks,32,Development,2014-01-01,9,Lumeria,101851,3,0,0
8183,Beverly Rush,40,Marketing,2012-01-01,3,Nirvon,84931,4,0,0
7556,,41,Sales,2021-01-01,19,Nirvon,145502,4,97175,0
6237,Marisa Davis,31,Sales,2012-01-01,4,Kaldora,104709,2,50562,0
2747,Kenneth Wright,49,Marketing,2019-01-01,15,UtopIA,117173,5,0,0
5944,Ryan Hurley,31,Development,2020-01-01,2,Aqualis,96772,4,0,0
4510,Bernard Bennett,46,Development,2017/01/01,19,Zebronia,124922,2,0,0
7251,Terry Miller,60,Development,2021-01-01,19,Nirvon,127488,3,0,0
8779,Denise Singh,34,Development,2011/01/01,8,Vantor,99611,3,0,0
8696,Angela Scott DDS,40,Support,2013-01-01,16,Aqualis,108005,4,0,4
4873,Robert Baker,34,Sales,2021-01-01,9,Drogol,112407,2,65978,0
3414,,56,Operations,2016-01-01,14,Arkalon,107100,3,0,0
3624,Pamela Moses,37,Marketing,2023-01-01,8,Aqualis,91684,3,0,0
9978,Tommy Ward,27,Development,2013-01-01,4,Lumeria,105106,5,0,0
6893,Keith Holden,54,Development,2025-01-01,11,Xentara,94900,2,0,0
6830,Robert Martin,57,Development,2013-01-01,13,utoPiA,127452,5,0,0
3355,Melissa Hamilton,44,Support,2018-01-01,13,Aqualis,87598,2,0,2
2135,Sarah Turner,36,Operations,01-01-2018,4,Vantor,95341,5,0,0
4330,,44,Support,01-01-2012,7,Zebronia,78382,1,0,1
7177,Victoria Porter,52,Marketing,2010-01-01,20,Nirvon,110286,2,0,0
7415,Craig Sampson,35,Leadership,2018-01-01,9,Vantor,267436,2,0,0
7428,Michael Howard,29,Operations,01-01-2011,7,Zebronia,100348,5,0,0
4073,Sean Sampson,42,Leadership,2010-01-01,2,Nirvon,500000,3,0,0
1903,Clayton Singh,52,Support,2013-01-01,18,Vantor,92054,2,0,3
8110,Joshua Wilkins,37,Sales,2023-01-01,14,Nirvon,110795,3,65708,0
4524,Carl Arnold,33,Operations,2018-01-01,9,Aqualis,93019,2,0,0
3415,Jessica Williams,52,Operations,2010-01-01,14,Drogol,120142,5,0,0
7285,Crystal Baker,36,Development,2017-01-01,7,Arkalon,103335,4,0,0
9505,Keith Ellis,31,Support,2025-01-01,8,arkALon,82524,2,0,3
1701,Ashley Matthews,42,Sales,2016-01-01,19,Arkalon,109894,2,62719,0
1269,Carolyn Rodriguez,46,Development,2010-01-01,9,Lumeria,109444,5,0,0
2844,Susan Pearson,40,MKT,2026-01-01,7,Drogol,82313,4,0,0
8169,Jody Glenn,39,Support,01/01/2011,5,Nirvon,92524,2,0,3
5990,Angela Brown,56,Operations,2016-01-01,15,Arkalon,110575,3,0,0
1814,Amanda Glover,58,Development,2023-01-01,16,Xentara,112297,3,0,0
4449,Daniel House,44,Operations,2026-01-01,14,Drogol,95512,3,0,0
2926,Lindsay Griffith,42,Development,2023-01-01,6,Utopia,91936,2,0,0
9970,Austin Dougherty,52,Operations,2019-01-01,18,Zebronia,112442,2,0,0
8016,Catherine Fitzgerald,42,Support,2020-01-01,7,Utopia,76566,1,0,1
7062,Frank Chavez,52,Sales,01-01-2010,10,Drogol,160642,5,130913,0
9253,Danielle Duran,33,Operations,2024-01-01,5,AQuaLIS,95326,5,0,0
2583,James Scott,49,Development,2016-01-01,7,Utopia,,3,0,0
6122,Eric Bass,28,Development,2026-01-01,2,Zebronia,78219,4,0,0
6675,Lisa Moore,46,Development,2019-01-01,13,Zebronia,109296,2,0,0
2314,Cheryl Hall,46,SALEs,2014-01-01,1,Zebronia,146839,4,115963,0
2224,Mark Ortiz,49,Support,2023-01-01,6,Utopia,90718,3,0,3
8120,Jorge Bowen,30,Development,2024-01-01,2,Drogol,86766,4,0,0
1732,Jordan Thompson,33,Operations,01-01-2025,11,Utopia,90499,3,0,0
9298,Walter Lloyd,49,Development,2022-01-01,4,utOPiA,95293,4,0,0
8440,Christine Willis,41,Operations,2023-01-01,15,Vantor,111960,4,0,0
4038,Cynthia Mitchell,45,Marketing,2022-01-01,15,Lumeria,101543,5,0,0
9656,Virginia Taylor,32,Sales,2023-01-01,7,Vantor,117956,2,75608,0
2687,Anthony Hines,62,Development,2024-01-01,19,Lumeria,129152,4,0,0
3756,Meagan Wilkins,55,Leadership,2012-01-01,15,Arkalon,,3,0,0
6722,Erica Lopez,42,Development,2020-01-01,10,zEbrOnIA,119960,5,0,0
8745,Stephen Landry,54,Sales,2012-01-01,16,Kaldora,118371,3,68153,0
5581,Nicole Smith,44,Support,2011-01-01,6,Vantor,86753,2,0,2
9244,Jeanne Thomas,57,Sls,2010-01-01,20,Nirvon,114886,3,61356,0
3287,Michelle Long,29,Operations,01-01-2020,7,Kaldora,89497,2,0,0
6829,Brandon Boyd,-90,Development,2018-01-01,15,Vantor,115649,2,0,0
7164,,43,Sales,2022-01-01,13,kaLDORa,107357,2,71090,0
